offic_cpi,alter_cpi,offic_inf,alter_inf,date
37.8,37.8,6.18,6.18,1970-01-01
38,38,6.15,6.15,1970-02-01
38.2,38.2,5.82,5.82,1970-03-01
38.5,38.5,6.06,6.06,1970-04-01
38.6,38.6,6.04,6.04,1970-05-01
38.8,38.8,6.01,6.01,1970-06-01
39,39,5.98,5.98,1970-07-01
39,39,5.41,5.41,1970-08-01
39.2,39.2,5.66,5.66,1970-09-01
39.4,39.4,5.63,5.63,1970-10-01
39.6,39.6,5.6,5.6,1970-11-01
39.8,39.8,5.57,5.57,1970-12-01
39.8,39.8,5.29,5.29,1971-01-01
39.9,39.9,5,5,1971-02-01
40,40,4.71,4.71,1971-03-01
40.1,40.1,4.16,4.16,1971-04-01
40.3,40.3,4.4,4.4,1971-05-01
40.6,40.6,4.64,4.64,1971-06-01
40.7,40.7,4.36,4.36,1971-07-01
40.8,40.8,4.62,4.62,1971-08-01
40.8,40.8,4.08,4.08,1971-09-01
40.9,40.9,3.81,3.81,1971-10-01
40.9,40.9,3.28,3.28,1971-11-01
41.1,41.1,3.27,3.27,1971-12-01
41.1,41.1,3.27,3.27,1972-01-01
41.3,41.3,3.51,3.51,1972-02-01
41.4,41.4,3.5,3.5,1972-03-01
41.5,41.5,3.49,3.49,1972-04-01
41.6,41.6,3.23,3.23,1972-05-01
41.7,41.7,2.71,2.71,1972-06-01
41.9,41.9,2.95,2.95,1972-07-01
42,42,2.94,2.94,1972-08-01
42.1,42.1,3.19,3.19,1972-09-01
42.3,42.3,3.42,3.42,1972-10-01
42.4,42.4,3.67,3.67,1972-11-01
42.5,42.5,3.41,3.41,1972-12-01
42.6,42.6,3.65,3.65,1973-01-01
42.9,42.9,3.87,3.87,1973-02-01
43.3,43.3,4.59,4.59,1973-03-01
43.6,43.6,5.06,5.06,1973-04-01
43.9,43.9,5.53,5.53,1973-05-01
44.2,44.2,6,6,1973-06-01
44.3,44.3,5.73,5.73,1973-07-01
45.1,45.1,7.38,7.38,1973-08-01
45.2,45.2,7.36,7.36,1973-09-01
45.6,45.6,7.8,7.8,1973-10-01
45.9,45.9,8.25,8.25,1973-11-01
46.2,46.2,8.71,8.71,1973-12-01
46.6,46.6,9.39,9.39,1974-01-01
47.2,47.2,10.02,10.02,1974-02-01
47.8,47.8,10.39,10.39,1974-03-01
48,48,10.09,10.09,1974-04-01
48.6,48.6,10.71,10.71,1974-05-01
49,49,10.86,10.86,1974-06-01
49.4,49.4,11.51,11.51,1974-07-01
50,50,10.86,10.86,1974-08-01
50.6,50.6,11.95,11.95,1974-09-01
51.1,51.1,12.06,12.06,1974-10-01
51.5,51.5,12.2,12.2,1974-11-01
51.9,51.9,12.34,12.34,1974-12-01
52.1,52.1,11.8,11.8,1975-01-01
52.5,52.5,11.23,11.23,1975-02-01
52.7,52.7,10.25,10.25,1975-03-01
52.9,52.9,10.21,10.21,1975-04-01
53.2,53.2,9.47,9.47,1975-05-01
53.6,53.6,9.39,9.39,1975-06-01
54.2,54.2,9.72,9.72,1975-07-01
54.3,54.3,8.6,8.6,1975-08-01
54.6,54.6,7.91,7.91,1975-09-01
54.9,54.9,7.44,7.44,1975-10-01
55.3,55.3,7.38,7.38,1975-11-01
55.5,55.5,6.94,6.94,1975-12-01
55.6,55.6,6.72,6.72,1976-01-01
55.8,55.8,6.29,6.29,1976-02-01
55.9,55.9,6.07,6.07,1976-03-01
56.1,56.1,6.05,6.05,1976-04-01
56.5,56.5,6.2,6.2,1976-05-01
56.8,56.8,5.97,5.97,1976-06-01
57.1,57.1,5.35,5.35,1976-07-01
57.4,57.4,5.71,5.71,1976-08-01
57.6,57.6,5.49,5.49,1976-09-01
57.9,57.9,5.46,5.46,1976-10-01
58,58,4.88,4.88,1976-11-01
58.2,58.2,4.86,4.86,1976-12-01
58.5,58.5,5.22,5.22,1977-01-01
59.1,59.1,5.91,5.91,1977-02-01
59.5,59.5,6.44,6.44,1977-03-01
60,60,6.95,6.95,1977-04-01
60.3,60.3,6.73,6.73,1977-05-01
60.7,60.7,6.87,6.87,1977-06-01
61,61,6.83,6.83,1977-07-01
61.2,61.2,6.62,6.62,1977-08-01
61.4,61.4,6.6,6.6,1977-09-01
61.6,61.6,6.39,6.39,1977-10-01
61.9,61.9,6.72,6.72,1977-11-01
62.1,62.1,6.7,6.7,1977-12-01
62.5,62.5,6.84,6.84,1978-01-01
62.9,62.9,6.43,6.43,1978-02-01
63.4,63.4,6.55,6.55,1978-03-01
63.9,63.9,6.5,6.5,1978-04-01
64.5,64.5,6.97,6.97,1978-05-01
65.2,65.2,7.41,7.41,1978-06-01
65.7,65.7,7.7,7.7,1978-07-01
66,66,7.84,7.84,1978-08-01
66.5,66.5,8.31,8.31,1978-09-01
67.1,67.1,8.93,8.93,1978-10-01
67.4,67.4,8.89,8.89,1978-11-01
67.7,67.7,9.02,9.02,1978-12-01
68.3,68.3,9.28,9.28,1979-01-01
69.1,69.1,9.86,9.86,1979-02-01
69.8,69.8,10.09,10.09,1979-03-01
70.6,70.6,10.49,10.49,1979-04-01
71.5,71.5,10.85,10.85,1979-05-01
72.3,72.3,10.89,10.89,1979-06-01
73.1,73.1,11.26,11.26,1979-07-01
73.8,73.8,11.82,11.82,1979-08-01
74.6,74.6,12.18,12.18,1979-09-01
75.2,75.2,12.07,12.07,1979-10-01
75.9,75.9,12.61,12.61,1979-11-01
76.7,76.7,13.29,13.29,1979-12-01
77.8,77.8,13.91,13.91,1980-01-01
78.9,78.9,14.18,14.18,1980-02-01
80.1,80.1,14.76,14.76,1980-03-01
81,81,14.73,14.73,1980-04-01
81.8,81.8,14.41,14.41,1980-05-01
82.7,82.7,14.38,14.38,1980-06-01
82.7,82.7,13.13,13.13,1980-07-01
83.3,83.3,12.87,12.87,1980-08-01
84,84,12.6,12.6,1980-09-01
84.8,84.8,12.77,12.77,1980-10-01
85.5,85.5,12.65,12.65,1980-11-01
86.3,86.3,12.52,12.52,1980-12-01
87,87,11.83,11.83,1981-01-01
87.9,87.9,11.41,11.41,1981-02-01
88.5,88.5,10.49,10.49,1981-03-01
89.1,89.1,10,10,1981-04-01
89.8,89.8,9.78,9.78,1981-05-01
90.6,90.6,9.55,9.55,1981-06-01
91.6,91.6,10.76,10.76,1981-07-01
92.3,92.3,10.8,10.8,1981-08-01
93.2,93.2,10.95,10.95,1981-09-01
93.4,93.4,10.14,10.14,1981-10-01
