offic_cpi,alter_cpi,offic_inf,alter_inf,date,,
37.8,37.8,6.18,6.18,01/01/70,,
38,38,6.15,6.15,02/01/70,,
38.2,38.2,5.82,5.82,03/01/70,,
38.5,38.5,6.06,6.06,04/01/70,,
38.6,38.6,6.04,6.04,05/01/70,,
38.8,38.8,6.01,6.01,06/01/70,,
39,39,5.98,5.98,07/01/70,,
39,39,5.41,5.41,08/01/70,,
39.2,39.2,5.66,5.66,09/01/70,,
39.4,39.4,5.63,5.63,10/01/70,,
39.6,39.6,5.6,5.6,11/01/70,,
39.8,39.8,5.57,5.57,12/01/70,,
39.8,39.8,5.29,5.29,01/01/71,,5.291005291
39.9,39.9,5,5,02/01/71,,5
40,40,4.71,4.71,03/01/71,,4.712041885
40.1,40.1,4.16,4.16,04/01/71,,4.155844156
40.3,40.3,4.4,4.4,05/01/71,,4.404145078
40.6,40.6,4.64,4.64,06/01/71,,4.639175258
40.7,40.7,4.36,4.36,07/01/71,,4.358974359
40.8,40.8,4.62,4.62,08/01/71,,4.615384615
40.8,40.8,4.08,4.08,09/01/71,,4.081632653
40.9,40.9,3.81,3.81,10/01/71,,3.807106599
40.9,40.9,3.28,3.28,11/01/71,,3.282828283
41.1,41.1,3.27,3.27,12/01/71,,3.266331658
41.1,41.1,3.27,3.27,01/01/72,,3.266331658
41.3,41.3,3.51,3.51,02/01/72,,3.50877193
41.4,41.4,3.5,3.5,03/01/72,,3.5
41.5,41.5,3.49,3.49,04/01/72,,3.49127182
41.6,41.6,3.23,3.23,05/01/72,,3.225806452
41.7,41.7,2.71,2.71,06/01/72,,2.709359606
41.9,41.9,2.95,2.95,07/01/72,,2.948402948
42,42,2.94,2.94,08/01/72,,2.941176471
42.1,42.1,3.19,3.19,09/01/72,,3.18627451
42.3,42.3,3.42,3.42,10/01/72,,3.422982885
42.4,42.4,3.67,3.67,11/01/72,,3.667481663
42.5,42.5,3.41,3.41,12/01/72,,3.406326034
42.6,42.6,3.65,3.65,01/01/73,,3.649635036
42.9,42.9,3.87,3.87,02/01/73,,3.87409201
43.3,43.3,4.59,4.59,03/01/73,,4.589371981
43.6,43.6,5.06,5.06,04/01/73,,5.060240964
43.9,43.9,5.53,5.53,05/01/73,,5.528846154
44.2,44.2,6,6,06/01/73,,5.995203837
44.3,44.3,5.73,5.73,07/01/73,,5.727923628
45.1,45.1,7.38,7.38,08/01/73,,7.380952381
45.2,45.2,7.36,7.36,09/01/73,,7.363420428
45.6,45.6,7.8,7.8,10/01/73,,7.80141844
45.9,45.9,8.25,8.25,11/01/73,,8.254716981
46.2,46.2,8.71,8.71,12/01/73,,8.705882353
46.6,46.6,9.39,9.39,01/01/74,,9.389671362
47.2,47.2,10.02,10.02,02/01/74,,10.02331002
47.8,47.8,10.39,10.39,03/01/74,,10.3926097
